image_id,annotator,class,x,y,w,h
ACI001,anotador1,accident,0.312102,0.754979,0.370297,0.428583
ACI001,anotador2,accident,0.312102,0.754979,0.370297,0.428583
ACI004,anotador1,accident,0.430992,0.733677,0.448297,0.255646
ACI004,anotador2,accident,0.430992,0.733677,0.448297,0.255646
ACI005,anotador1,accident,0.935187,0.489938,0.129625,0.146625
ACI005,anotador2,accident,0.935187,0.489938,0.129625,0.146625
ACI006,anotador1,accident,0.892422,0.414125,0.215156,0.313292
ACI006,anotador2,accident,0.892422,0.414125,0.215156,0.313292
ACI008,anotador1,accident,0.932867,0.424146,0.130641,0.265667
ACI008,anotador2,accident,0.932867,0.424146,0.130641,0.265667
ACI010,anotador1,accident,0.749125,0.362125,0.223687,0.379708
ACI010,anotador2,accident,0.749125,0.362125,0.223687,0.379708
ACI011,anotador1,accident,0.711039,0.377156,0.568547,0.449854
ACI011,anotador2,accident,0.711039,0.377156,0.568547,0.449854
ACI012,anotador1,accident,0.863758,0.536312,0.272484,0.384708
ACI012,anotador2,accident,0.863758,0.536312,0.272484,0.384708
ACI013,anotador1,accident,0.891984,0.484927,0.212406,0.294479
ACI013,anotador2,accident,0.891984,0.484927,0.212406,0.294479
ACI016,anotador1,accident,0.429109,0.756229,0.333656,0.365917
ACI016,anotador2,accident,0.429109,0.756229,0.333656,0.365917
ACI016,anotador1,accident,0.753828,0.44801,0.389219,0.220646
ACI016,anotador2,accident,0.753828,0.44801,0.389219,0.220646
ACI017,anotador1,accident,0.745836,0.447969,0.395672,0.240604
ACI017,anotador2,accident,0.745836,0.447969,0.395672,0.240604
ACI017,anotador1,accident,0.486437,0.729917,0.188906,0.165417
ACI017,anotador2,accident,0.486437,0.729917,0.188906,0.165417
ACI018,anotador1,accident,0.467172,0.749344,0.187969,0.154146
ACI018,anotador2,accident,0.467172,0.749344,0.187969,0.154146
ACI018,anotador1,accident,0.747687,0.450615,0.371906,0.213979
ACI018,anotador2,accident,0.747687,0.450615,0.371906,0.213979
ACI019,anotador1,accident,0.465766,0.744323,0.202062,0.156646
ACI019,anotador2,accident,0.465766,0.744323,0.202062,0.156646
ACI019,anotador1,accident,0.755398,0.45576,0.384266,0.203687
ACI019,anotador2,accident,0.755398,0.45576,0.384266,0.203687
ACI020,anotador1,accident,0.753859,0.456792,0.387344,0.20575
ACI020,anotador2,accident,0.753859,0.456792,0.387344,0.20575
ACI020,anotador1,accident,0.462,0.749969,0.211469,0.152896
ACI020,anotador2,accident,0.462,0.749969,0.211469,0.152896
ACI021,anotador1,accident,0.471406,0.749333,0.190781,0.149125
ACI021,anotador2,accident,0.471406,0.749333,0.190781,0.149125
ACI022,anotador1,accident,0.466242,0.748094,0.193609,0.161646
ACI022,anotador2,accident,0.466242,0.748094,0.193609,0.161646
ACI024,anotador1,accident,0.868492,0.451719,0.261266,0.275688
